datetime,school,category,active_cases,total_positive_cases,probable_cases,resolved
20210916140002,HMS-FWA,students,17,22,0,5
20210916140002,NGES,students,7,9,0,2
20210916140002,GES,students,3,3,0,0
20210916140002,GMS,students,13,14,0,1
20210916140002,HHS,students,9,14,0,5
20210916140002,HES,students,2,4,0,2
20210916140002,HMS-FWA,staff,2,2,0,0
20210916140002,NGES,staff,0,0,0,0
20210916140002,GES,staff,2,4,0,2
20210916140002,GMS,staff,0,0,0,0
20210916140002,HHS,staff,0,1,0,1
20210916140002,HES,staff,0,0,0,0
