datetime,school,category,active_cases,total_positive_cases,probable_cases,resolved
20201130075818,HHS,students,3,50,0,47
20201130075818,HES,students,3,17,0,14
20201130075818,HMS-FWA,students,2,38,0,36
20201130075818,NGES,students,1,17,0,16
20201130075818,GES,students,0,18,0,18
20201130075818,GMS,students,2,22,0,20
20201130075818,HHS,staff,1,18,0,17
20201130075818,HES,staff,0,12,0,12
20201130075818,HMS-FWA,staff,1,16,0,15
20201130075818,NGES,staff,0,5,0,5
20201130075818,GES,staff,0,11,0,11
20201130075818,GMS,staff,1,5,0,4
