datetime,school,category,active_cases,total_positive_cases,probable_cases,resolved
20210909093756,HHS,students,4,5,0,1
20210909093756,HES,students,2,2,0,0
20210909093756,HMS-FWA,students,3,4,0,1
20210909093756,NGES,students,3,3,0,0
20210909093756,GES,students,0,0,0,0
20210909093756,GMS,students,3,3,0,0
20210909093756,HHS,staff,1,1,0,0
20210909093756,HES,staff,0,0,0,0
20210909093756,HMS-FWA,staff,0,0,0,0
20210909093756,NGES,staff,0,0,0,0
20210909093756,GES,staff,0,2,0,2
20210909093756,GMS,staff,0,0,0,0
