datetime,school,category,active_cases,total_positive_cases,probable_cases,resolved
20201203155843,HMS-FWA,students,3,40,0,37
20201203155843,NGES,students,0,17,0,17
20201203155843,GES,students,1,19,0,18
20201203155843,GMS,students,2,24,0,22
20201203155843,HHS,students,2,52,0,50
20201203155843,HES,students,2,18,0,16
20201203155843,HMS-FWA,staff,0,16,0,16
20201203155843,NGES,staff,2,7,0,5
20201203155843,GES,staff,1,12,0,11
20201203155843,GMS,staff,1,5,0,4
20201203155843,HHS,staff,1,19,0,18
20201203155843,HES,staff,0,12,0,12
