datetime,school,category,active_cases,total_positive_cases,probable_cases,resolved
20201209075728,HHS,students,4,54,0,50
20201209075728,HES,students,2,20,0,18
20201209075728,HMS-FWA,students,2,41,0,39
20201209075728,NGES,students,0,17,0,17
20201209075728,GES,students,3,21,0,18
20201209075728,GMS,students,4,26,0,22
20201209075728,HHS,staff,0,19,0,19
20201209075728,HES,staff,0,12,0,12
20201209075728,HMS-FWA,staff,0,16,0,16
20201209075728,NGES,staff,2,8,0,6
20201209075728,GES,staff,0,12,0,12
20201209075728,GMS,staff,1,6,0,5
